id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team
0,Fábio Ferreira Vieira,54,0.0,0,0.0,0.0,u,0.0,MID,ARS
1,Gabriel Fernando de Jesus,68,35.0,28,1.9,3.5,a,0.86,FWD,ARS
2,Gabriel dos Santos Magalhães,63,74.8,79,4.9,4.7,a,1.06,DEF,ARS
3,Kai Havertz,79,115.2,74,4.4,4.7,a,1.03,FWD,ARS
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS
5,Jurriën Timber,57,56.7,63,3.9,5.5,a,1.03,DEF,ARS
6,Jorge Luiz Frello Filho,47,8.4,10,1.2,1.0,a,1.15,MID,ARS
7,Jakub Kiwior,48,6.3,13,1.6,1.5,a,0.56,DEF,ARS
8,Gabriel Martinelli Silva,68,92.4,63,3.9,2.7,a,1.05,MID,ARS
9,Ethan Nwaneri,45,13.1,15,1.5,0.7,a,0.0,MID,ARS
10,Martin Ødegaard,84,78.6,41,3.7,3.5,a,1.09,MID,ARS
11,David Raya Martin,56,39.0,73,4.1,4.2,a,1.0,GKP,ARS
12,Declan Rice,62,87.0,47,2.9,4.7,a,1.05,MID,ARS
13,Bukayo Saka,103,174.9,107,6.7,4.5,i,1.14,MID,ARS
14,William Saliba,63,51.2,70,4.1,6.7,a,1.04,DEF,ARS
15,Thomas Partey,50,58.7,54,3.2,2.5,a,0.96,MID,ARS
16,Kieran Tierney,43,0.0,0,0.0,0.0,a,0.0,DEF,ARS
17,Tomiyasu Takehiro,48,1.0,1,1.0,0.0,i,0.0,DEF,ARS
18,Leandro Trossard,68,82.8,58,3.2,4.0,a,0.98,MID,ARS
19,Benjamin White,61,21.3,27,3.0,0.0,i,0.91,DEF,ARS
20,Oleksandr Zinchenko,48,6.7,15,2.5,1.0,a,0.77,DEF,ARS
21,Norberto Murara Neto,42,7.8,7,3.5,0.0,a,1.0,GKP,ARS
22,Raheem Sterling,67,11.3,9,1.5,0.2,i,1.25,MID,ARS
23,Riccardo Calafiori,58,33.9,24,2.7,0.7,a,1.01,DEF,ARS
24,Myles Lewis-Skelly,45,9.2,8,1.6,1.2,a,1.17,MID,ARS
25,Mikel Merino,60,34.4,23,2.1,1.2,a,0.91,MID,ARS
26,Salah-Eddine Oulad M'hand,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
27,Tommy Setford,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS
28,Maldini Kacurri,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
29,Ayden Heaven,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
30,Ismeal Kabia,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
31,Josh Nichols,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
32,Nathan Butler-Oyedeji,45,0.0,0,0.0,0.0,a,0.0,FWD,ARS
33,Leon Bailey,62,35.8,28,1.9,0.8,a,1.2,MID,AVL
34,Ross Barkley,52,41.3,29,2.1,0.8,a,0.39,MID,AVL
35,Enzo Barrenechea,49,0.0,0,0.0,0.0,u,0.0,MID,AVL
36,Emiliano Buendía Stati,51,4.3,8,0.9,0.7,a,0.0,MID,AVL
37,Matty Cash,44,28.5,23,1.9,1.5,s,1.1,DEF,AVL
38,Leander Dendoncker,45,0.0,0,0.0,0.0,u,0.0,MID,AVL
39,Moussa Diaby,65,0.0,0,0.0,0.0,u,0.0,MID,AVL
40,Diego Carlos Santos Silva,45,19.1,20,2.2,1.3,a,0.85,DEF,AVL
41,Lucas Digne,46,76.9,47,2.6,1.5,a,1.07,DEF,AVL
42,Lewis Dobbin,50,0.0,0,0.0,0.0,u,0.0,MID,AVL
43,Jhon Durán,59,66.4,51,2.8,3.2,s,0.61,FWD,AVL
44,Joe Gauci,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL
45,Kortney Hause,39,0.0,0,0.0,0.0,a,0.0,DEF,AVL
46,Samuel Iling-Junior,54,0.0,0,0.0,0.0,u,0.0,MID,AVL
47,Boubacar Kamara,50,11.7,15,1.7,2.2,a,1.08,MID,AVL
48,Kaine Kesler-Hayden,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL
49,Ezri Konsa Ngoyo,44,38.3,35,2.2,2.5,a,1.06,DEF,AVL
50,Ian Maatsen,46,25.0,12,0.9,0.5,a,0.64,DEF,AVL
51,Filip Marschall,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL
52,Emiliano Martínez Romero,50,41.0,49,2.7,2.5,a,1.03,GKP,AVL
53,John McGinn,52,57.6,39,2.4,3.2,a,1.1,MID,AVL
54,Tyrone Mings,44,3.3,2,2.0,0.3,a,1.0,DEF,AVL
55,Kosta Nedeljković,39,2.9,4,1.0,0.2,a,0.0,DEF,AVL
56,Robin Olsen,45,1.8,1,1.0,0.2,a,0.0,GKP,AVL
57,Pau Torres,43,40.5,31,1.8,1.8,a,1.0,DEF,AVL
58,Jacob Ramsey,54,33.7,22,2.2,0.0,d,1.0,MID,AVL
59,Morgan Rogers,54,103.3,77,4.3,5.0,a,1.1,MID,AVL
60,Viljami Sinisalo,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL
61,Lino da Cruz Sousa,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL
62,Youri Tielemans,55,103.3,48,2.7,1.8,a,1.07,MID,AVL
63,Ollie Watkins,88,107.6,80,4.4,3.0,a,1.07,FWD,AVL
64,Amadou Onana,49,45.9,36,2.8,0.8,a,1.2,MID,AVL
65,Jaden Philogene,53,7.4,9,0.8,0.5,a,0.55,MID,AVL
66,Lamare Bogarde,40,5.1,2,0.7,0.0,a,1.27,DEF,AVL
67,Sil Swinkels,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL
68,Oliwier Zych,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL
69,Kadan Young,45,0.0,0,0.0,0.0,a,0.0,MID,AVL
70,Ben Broggio,45,0.0,0,0.0,0.0,a,0.0,MID,AVL
71,Max Aarons,43,1.5,7,3.5,1.0,a,1.18,DEF,BOU
72,Tyler Adams,49,20.6,14,1.6,1.5,a,0.94,MID,BOU
73,Jaidon Anthony,45,0.0,0,0.0,0.0,u,0.0,MID,BOU
74,David Brooks,49,17.3,20,1.8,1.5,a,0.53,MID,BOU
75,Ryan Christie,49,74.0,43,2.5,3.3,a,1.11,MID,BOU
76,Lewis Cook,50,80.7,46,2.7,1.5,a,0.96,MID,BOU
77,Enes Ünal,54,35.1,31,2.1,3.2,a,0.61,FWD,BOU
